distance-to-solar-noon,humidity,sky-cover,average-wind-speed-(period),wind-direction,average-pressure-(period)
0.168055556,63.0,2,7.0,29,29.95
0.081944444,47.0,2,15.0,29,29.91
0.331944444,57.0,2,21.0,29,29.88
0.581944444,70.0,1,11.0,29,29.89
0.831944444,81.0,0,8.0,29,29.91
0.919332406,81.0,0,6.0,29,29.91
0.668984701,87.0,0,7.0,29,29.9
0.418636996,84.0,2,6.0,29,29.93
0.168289291,68.0,1,6.0,29,29.95
0.082058414,50.0,1,13.0,29,29.91
0.33240612,68.0,1,18.0,29,29.9
0.582753825,90.0,1,15.0,29,29.92
0.83310153,90.0,1,10.0,29,29.94
0.921787709,90.0,1,10.0,29,29.95
0.670391061,93.0,1,3.0,29,29.93
0.4189944129999999,93.0,1,6.0,29,29.95
0.167597765,73.0,0,3.0,29,29.95
0.083798883,56.0,1,6.0,29,29.9
0.335195531,59.0,1,20.0,29,29.85
0.5865921789999999,73.0,0,15.0,29,29.89
0.837988827,81.0,1,5.0,29,29.92
0.925666199,90.0,1,13.0,30,29.92
0.6732117809999999,93.0,1,8.0,30,29.91
0.420757363,93.0,1,8.0,30,29.94
0.168302945,65.0,1,9.0,30,29.94
0.084151473,63.0,1,20.0,30,29.9
0.336605891,70.0,1,21.0,30,29.89
0.589060309,87.0,1,11.0,30,29.93
0.8415147270000001,90.0,2,11.0,30,29.96
0.928270042,90.0,4,8.0,28,29.97
0.675105485,87.0,4,6.0,28,29.96
0.421940928,87.0,4,6.0,28,29.96
0.168776371,75.0,3,5.0,28,29.98
0.0843881859999999,63.0,2,15.0,28,29.94
0.337552743,68.0,2,15.0,28,29.95
0.5907173000000001,75.0,2,11.0,28,29.96
0.8438818570000001,81.0,0,8.0,28,29.97
0.93079096,81.0,0,5.0,29,29.98
0.676553672,87.0,1,5.0,29,29.99
0.422316384,83.0,2,0.0,29,30.04
0.168079096,70.0,2,3.0,29,30.05
0.086158192,50.0,2,9.0,29,30.01
0.34039548,53.0,2,18.0,29,29.97
0.594632768,68.0,1,15.0,29,29.99
0.848870056,67.0,1,0.0,29,30.01
0.933427762,67.0,1,0.0,29,30.0
0.678470255,78.0,1,5.0,29,29.99
0.423512748,75.0,2,0.0,29,29.98
0.168555241,71.0,3,3.0,29,29.98
0.0864022659999999,50.0,3,22.0,29,29.95
0.341359773,59.0,3,16.0,29,29.92
0.59631728,81.0,3,8.0,29,29.96
0.851274788,84.0,3,9.0,29,29.95
0.937411095,84.0,3,10.0,27,29.94
0.6813655759999999,87.0,4,6.0,27,29.92
0.425320057,81.0,4,0.0,27,29.96
0.169274538,73.0,3,6.0,27,29.98
0.086770982,62.0,3,17.0,27,29.97
0.342816501,76.0,3,9.0,27,29.92
0.59886202,87.0,3,13.0,27,29.91
0.854907539,90.0,2,16.0,27,29.92
0.940085592,90.0,4,7.0,19,29.91
0.6833095579999999,87.0,3,8.0,19,29.86
0.426533524,84.0,3,5.0,19,29.87
0.1697574889999999,73.0,3,3.0,19,29.87
0.087018545,63.0,3,0.0,19,29.83
0.343794579,65.0,4,9.0,19,29.77
0.6005706129999999,70.0,4,14.0,19,29.76
0.8573466479999999,90.0,4,13.0,19,29.75
0.941344778,93.0,4,15.0,26,29.73
0.6838340490000001,90.0,4,17.0,26,29.75
0.426323319,90.0,4,8.0,26,29.79
0.1688125889999999,81.0,3,13.0,26,29.84
0.08869814,66.0,2,16.0,26,29.86
0.34620887,70.0,2,15.0,26,29.88
0.6037195989999999,81.0,1,14.0,26,29.91
0.8612303290000001,84.0,2,18.0,26,29.95
0.944045911,81.0,1,15.0,28,29.96
0.68579627,84.0,1,10.0,28,29.96
0.427546628,81.0,2,8.0,28,29.99
0.1692969869999999,57.0,3,7.0,28,30.01
0.088952654,55.0,3,15.0,28,30.0
0.347202296,61.0,3,11.0,28,29.99
0.605451937,81.0,1,15.0,28,30.01
0.863701578,87.0,2,14.0,28,30.03
0.948126801,93.0,4,7.0,28,30.04
0.688760807,90.0,4,0.0,28,30.05
0.429394813,84.0,4,5.0,28,30.07
0.170028818,73.0,1,5.0,28,30.1
0.0893371759999999,59.0,0,3.0,28,30.05
0.34870317,70.0,1,22.0,28,30.05
0.608069164,93.0,1,22.0,28,30.07
0.867435159,93.0,3,21.0,28,30.1
0.949421965,93.0,2,14.0,28,30.12
0.689306358,96.0,1,7.0,28,30.12
0.429190751,96.0,3,0.0,28,30.16
0.169075145,81.0,2,3.0,28,30.17
0.0910404619999999,71.0,0,3.0,28,30.11
0.3511560689999999,55.0,0,22.0,28,30.07
0.611271676,73.0,0,16.0,28,30.06
0.871387283,81.0,0,11.0,28,30.05
0.953555878,84.0,0,7.0,27,30.03
0.692307692,83.0,1,0.0,27,30.01
0.431059507,90.0,0,3.0,27,30.02
0.169811321,76.0,0,3.0,27,30.01
0.091436865,55.0,0,24.0,27,29.95
0.352685051,61.0,1,25.0,27,29.92
0.613933237,72.0,0,9.0,27,29.9
0.875181422,78.0,0,23.0,27,29.91
0.956331878,83.0,0,15.0,27,29.91
0.6943231440000001,80.0,0,13.0,27,29.92
0.43231441,75.0,1,9.0,27,29.96
0.170305677,47.0,0,5.0,27,30.0
0.0917030569999999,36.5,0,16.0,27,29.97
0.35371179,50.0,0,26.0,27,29.94
0.615720524,67.0,0,20.0,27,29.95
0.877729258,67.0,0,11.0,27,29.97
0.959124088,69.0,0,16.0,29,29.98
0.696350365,69.0,0,11.0,29,29.98
0.433576642,59.0,1,13.0,29,29.99
0.17080292,42.0,1,17.0,29,30.0
0.091970803,46.0,1,26.0,29,29.94
0.354744526,46.0,2,29.0,29,29.91
0.617518248,64.0,0,18.0,29,29.92
0.8802919709999999,46.0,0,13.0,29,29.93
0.961876833,36.5,0,14.0,31,29.92
0.697947214,36.5,0,14.0,31,29.93
0.434017595,36.5,0,10.0,31,29.97
0.170087977,36.5,0,20.0,31,29.98
0.0938416419999999,36.5,1,20.0,31,29.96
0.357771261,36.5,0,21.0,31,29.95
0.62170088,42.0,0,10.0,31,30.0
0.885630499,36.5,0,9.0,31,30.04
0.964705882,39.0,0,15.0,32,30.09
0.7,41.0,0,13.0,32,30.1
0.4352941179999999,36.5,0,9.0,32,30.15
0.170588235,36.5,0,20.0,32,30.17
0.094117647,36.5,0,14.0,32,30.15
0.358823529,36.5,0,17.0,32,30.13
0.623529412,46.0,0,11.0,32,30.16
0.888235294,36.5,1,7.0,32,30.19
0.968980798,36.5,1,0.0,28,30.21
0.70310192,49.0,0,5.0,28,30.22
0.437223043,49.0,0,0.0,28,30.26
0.171344165,36.5,0,0.0,28,30.27
0.0945347119999999,36.5,0,5.0,28,30.22
0.360413589,36.5,0,18.0,28,30.19
0.6262924670000001,36.5,0,13.0,28,30.2
0.8921713440000001,62.0,0,7.0,28,30.2
0.971851852,75.0,0,0.0,29,30.18
0.705185185,61.0,0,3.0,29,30.16
0.438518519,75.0,0,0.0,29,30.18
0.171851852,63.0,0,5.0,29,30.18
0.094814815,36.5,0,0.0,29,30.1
0.361481481,36.5,1,14.0,29,30.05
0.628148148,40.0,0,14.0,29,30.03
0.894814815,72.0,0,9.0,29,30.04
0.974702381,75.0,0,7.0,29,30.04
0.706845238,66.0,0,3.0,29,30.04
0.438988095,80.0,0,3.0,29,30.06
0.171130952,65.0,0,6.0,29,30.08
0.09672619,40.0,1,0.0,29,30.03
0.3645833329999999,36.5,1,18.0,29,30.0
0.632440476,58.0,1,11.0,29,30.01
0.900297619,70.0,0,7.0,29,30.03
